timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490005223275,254,Discount,200,OK,Thread Group 1-17,text,true,,330,197,41,58,254,0,138
1490005223357,172,Discount,200,OK,Thread Group 1-25,text,true,,330,197,41,58,172,0,56
1490005223346,186,Discount,200,OK,Thread Group 1-24,text,true,,330,200,41,58,184,0,67
1490005223210,327,Discount,200,OK,Thread Group 1-11,text,true,,331,198,41,58,327,0,203
1490005223410,127,Account,200,OK,Thread Group 2-6,text,true,,330,159,17,58,127,0,45
1490005223401,137,Account,200,OK,Thread Group 2-5,text,true,,330,158,17,58,127,0,45
1490005223427,111,Discount,200,OK,Thread Group 1-32,text,true,,330,200,41,58,110,0,57
1490005223189,349,Discount,200,OK,Thread Group 1-9,text,true,,330,197,41,58,339,0,224
1490005223229,309,Discount,200,OK,Thread Group 1-13,text,true,,331,198,41,58,309,0,184
1490005223315,223,Discount,200,OK,Thread Group 1-21,text,true,,331,198,41,58,212,0,96
1490005223435,103,Account,200,OK,Thread Group 2-8,text,true,,330,158,17,58,103,0,48
1490005223172,366,Discount,200,OK,Thread Group 1-3,text,true,,331,198,41,58,355,0,241
1490005223359,180,Account,200,OK,Thread Group 2-1,text,true,,330,156,17,58,170,0,54
1490005223172,367,Discount,200,OK,Thread Group 1-4,text,true,,331,199,41,58,367,0,240
1490005223420,119,Discount,200,OK,Thread Group 1-31,text,true,,331,199,41,58,119,0,46
1490005223176,363,Discount,200,OK,Thread Group 1-8,text,true,,330,200,41,58,351,0,237
1490005223284,255,Discount,200,OK,Thread Group 1-18,text,true,,330,198,41,58,245,0,129
1490005223426,113,Account,200,OK,Thread Group 2-7,text,true,,330,156,17,58,113,0,58
1490005223380,160,Account,200,OK,Thread Group 2-3,text,true,,330,159,17,58,160,0,50
1490005223293,247,Discount,200,OK,Thread Group 1-19,text,true,,331,198,41,58,247,0,120
1490005223396,147,Discount,200,OK,Thread Group 1-29,text,true,,331,198,41,58,131,0,46
1490005223396,147,Account,200,OK,Thread Group 2-4,text,true,,330,156,17,58,131,0,46
1490005223371,172,Account,200,OK,Thread Group 2-2,text,true,,330,158,17,58,157,0,48
1490005223335,195,Discount,200,OK,Thread Group 1-23,text,true,,331,199,41,58,195,0,77
1490005223325,218,Discount,200,OK,Thread Group 1-22,text,true,,331,199,41,58,203,0,86
1490005223409,134,Discount,200,OK,Thread Group 1-30,text,true,,331,199,41,58,134,0,46
1490005223366,177,Discount,200,OK,Thread Group 1-26,text,true,,330,198,41,58,162,0,46
1490005223199,331,Discount,200,OK,Thread Group 1-10,text,true,,330,198,41,58,331,0,213
1490005223239,304,Discount,200,OK,Thread Group 1-14,text,true,,331,199,41,58,288,0,173
1490005223443,103,Discount,200,OK,Thread Group 1-33,text,true,,330,197,42,60,103,0,45
1490005223443,103,Account,200,OK,Thread Group 2-9,text,true,,330,159,18,61,103,0,46
1490005223172,358,Discount,200,OK,Thread Group 1-5,text,true,,331,198,41,58,358,0,239
1490005223375,155,Discount,200,OK,Thread Group 1-27,text,true,,331,198,41,58,155,0,46
1490005223172,358,Discount,200,OK,Thread Group 1-1,text,true,,330,197,41,58,358,0,241
1490005223172,357,Discount,200,OK,Thread Group 1-2,text,true,,330,198,41,58,356,0,239
1490005223263,267,Discount,200,OK,Thread Group 1-16,text,true,,330,200,41,58,267,0,150
1490005223172,371,Discount,200,OK,Thread Group 1-6,text,true,,331,199,42,60,371,0,239
1490005223219,309,Discount,200,OK,Thread Group 1-12,text,true,,331,199,41,58,309,0,194
1490005223249,280,Discount,200,OK,Thread Group 1-15,text,true,,331,199,41,58,280,0,163
1490005223172,356,Discount,200,OK,Thread Group 1-7,text,true,,331,199,41,57,355,0,241
1490005223385,143,Discount,200,OK,Thread Group 1-28,text,true,,331,199,41,58,142,0,57
1490005223453,102,Account,200,OK,Thread Group 2-10,text,true,,330,156,16,53,102,0,48
1490005223449,106,Discount,200,OK,Thread Group 1-34,text,true,,330,198,37,53,106,0,47
1490005223458,100,Discount,200,OK,Thread Group 1-35,text,true,,331,198,37,53,99,0,45
1490005223463,95,Account,200,OK,Thread Group 2-11,text,true,,330,158,16,53,94,0,45
1490005223304,225,Discount,200,OK,Thread Group 1-20,text,true,,331,199,41,58,223,0,108
1490005223471,100,Account,200,OK,Thread Group 2-12,text,true,,330,159,14,38,100,0,45
1490005223468,118,Discount,200,OK,Thread Group 1-36,text,true,,331,199,12,24,118,0,51
1490005223478,108,Discount,200,OK,Thread Group 1-37,text,true,,331,198,12,24,108,0,48
1490005223484,105,Account,200,OK,Thread Group 2-13,text,true,,330,156,12,23,105,0,54
1490005223489,100,Discount,200,OK,Thread Group 1-38,text,true,,331,199,11,23,100,0,49
1490005223495,103,Account,200,OK,Thread Group 2-14,text,true,,330,158,11,21,103,0,45
1490005223501,98,Account,200,OK,Thread Group 2-15,text,true,,330,159,10,20,98,0,45
